Agency,Mode,Fuel,State,Total_Energy,Total_Emissions_kg,Total_Emissions_lb,UPT,MILES
"Frederick County, Maryland",Motor Bus,Electric Battery,MD,225306,57026039.86174489,125720748,677642,3659312
"Fairfax County, VA",Motor Bus,Diesel Fuel,VA,2539112,57003064.4,125670095.83752799,8365190,44414321
City of Portland,Hybrid Rail,Electric Propulsion,OR,361200,56360189.05752466,124252800,3692695,4413873
"City of Rochester, Minnesota",Motor Bus,Electric Battery,MN,149358,54265931.54375811,119635757.99999999,745406,2558386
"Montgomery County, Maryland",Motor Bus,Diesel Fuel,MD,2341306,52562319.699999996,115879941.25701398,14372995,58141297
Greater Lafayette Public Transportation Corporation,Motor Bus,C Natural Gas,IN,429790,51940121.5,114508230.66132998,4447311,10619883
City of Charlotte North Carolina,Motor Bus,Diesel Fuel,NC,2312668,51919396.6,114462540.13229199,14027141,67531449
METRO Regional Transit Authority,Motor Bus,Electric Battery,OH,109324,51770489.245312124,114134256,4324674,18176923
Pittsburgh Regional Transit,Inclined Plane,Electric Propulsion,PA,171823,51049189.883063756,112544065.00000001,37908532,155119545
Pinellas Suncoast Transit Authority,Motor Bus,Diesel Fuel,FL,2232469,50118929.05,110493193.36221099,10210124,54152172
Greenville Transit Authority,Motor Bus,Electric Battery,SC,197222,49917843.43787138,110049876,764307,4016483
Town of Blacksburg,Motor Bus,Electric Battery,VA,182528,49179283.50464026,108421632,3520078,6571617
Transit Authority of River City,Motor Bus,Electric Battery,KY,61846,48840111.2209814,107673886,6247087,22882994
Westchester County,Motor Bus,Electric Battery,NY,200800,47544520.14406111,104817600,21997971,90095305
Transportation District Commission of Hampton Roads,Motor Bus,Diesel Fuel,VA,2106037,47280530.65,104235603.48160298,7167154,36797144
Central Ohio Transit Authority,Motor Bus,Electric Battery,OH,99747,47235291.34272573,104135868,11526490,51281571
City of Kenosha,Streetcar,Electric Propulsion,WI,90505,47128185.356206514,103899740,1248670,4037901
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Motor Bus,Diesel Fuel,CT,2087610,46866844.5,103323582.72159,15128480,66810043
Westchester County,Motor Bus,Diesel Fuel,NY,2078480,46661876,102871705.06711999,21997971,90095305
Valley Regional Transit,Motor Bus,C Natural Gas,ID,384903,46515527.55,102549062.34728098,1096198,4478664
Capital District Transportation Authority,Motor Bus,Diesel Fuel,NY,2070980,46493501,102500502.17461999,13833236,58050444
Chatham Area Transit Authority,Motor Bus,Electric Battery,GA,138100,45915985.52131434,101227300,2286113,5186604
Greater Peoria Mass Transit District,Motor Bus,Electric Battery,IL,187119,44305194.545998864,97676118,1871743,10047144
Erie Metropolitan Transit Authority,Motor Bus,C Natural Gas,PA,366425,44282461.25,97625999.720975,1423465,3300207
Salem Area Mass Transit District,Motor Bus,C Natural Gas,OR,364746,44079554.1,97178666.55994199,3027255,11246133
Puerto Rico Maritime Transport Authority,Ferry Boat,Diesel Fuel,PR,1941869,43594959.05,96110318.62081099,1385794,17869630
South Bend Public Transportation Corporation,Motor Bus,C Natural Gas,IN,356297,43058492.449999996,94927613.62511899,1252820,4679161
"Board of County Commissioners, Palm Beach County",Motor Bus,Diesel Fuel,FL,1916209,43018892.05,94840309.79127099,8468040,50539296
Central Puget Sound Regional Transit Authority,Commuter Bus,C Natural Gas,WA,355175,42922898.75,94628681.04222499,37571636,346306031
Rhode Island Public Transit Authority,Motor Bus,Diesel Fuel,RI,1911644,42916407.8,94614370.96403599,11412537,54303315
Suburban Mobility Authority for Regional Transportation,Motor Bus,Diesel Fuel,MI,1886595,42354057.75,93374602.796805,4827519,45670297
Central Puget Sound Regional Transit Authority,Commuter Bus,Diesel Fuel,WA,1802820,40473309,89228266.48757999,37571636,346306031
Delaware Transit Corporation,Motor Bus,Diesel Fuel,DE,1750039,39288375.55,86615938.50504099,7629486,49897548
Greater Richmond Transit Company,Demand Response,C Natural Gas,VA,312073,37714022.05,83145087.29187098,9723640,48410504
Lexington Transit Authority,Motor Bus,C Natural Gas,KY,309927,37454677.949999996,82573332.10212898,3733026,17873805
Virginia Railway Express,Commuter Rail,Diesel Fuel,VA,1665975,37401138.75,82455298.511025,1466250,45696464
Port Imperial Ferry Corporation,Ferry Boat,Diesel Fuel,NJ,1627711,36542111.949999996,80561470.84720898,5689838,12587409
St. Cloud Metropolitan Transit Commission,Motor Bus,C Natural Gas,MN,298393,36060794.05,79500347.77851099,774825,3454101
Metropolitan Transit Authority,Motor Bus,Diesel Fuel,TN,1595490,35818750.5,78966733.72730999,8162766,34901383
Indianapolis and Marion County Public Transportation,Motor Bus,Diesel Fuel,IN,1578631,35440265.949999996,78132319.11868899,6888880,35204901
Pierce County Transportation Benefit Area Authority,Motor Bus,Electric Battery,WA,265806,35205773.3305513,77615351.99999999,6792245,40362320
Maryland Transit Administration,Demand Response,Gasoline,MD,1878219,35179041.87,77556419.28743939,57907024,343206699
Snohomish County Public Transportation Benefit Area Corporation,Motor Bus,Diesel Fuel,WA,1526558,34271227.1,75555032.689202,7146008,58898665
Washington Metropolitan Area Transit Authority,Demand Response,Gasoline,DC,1811999,33938741.27,74822027.7786674,231023784,912604948
New Jersey Transit Corporation,Demand Response,Gasoline,NJ,1791397,33552865.810000002,73971319.0220422,198590133,2314384007
Chattanooga Area Regional Transportation Authority,Inclined Plane,Electric Propulsion,TN,102880,33365931.54375811,73559200,1736039,5747254
"Hyannis Harbor Tours, Inc.",Ferry Boat,Diesel Fuel,MA,1467081,32935968.45,72611294.764239,891899,24769558
Capital District Transportation Authority,Motor Bus,Electric Battery,NY,137732,32611562.990447335,71896104,13833236,58050444
"City of Gainesville, FL",Motor Bus,Electric Battery,FL,89083,32083489.218096547,70731902,5170533,17908961
Transit Authority of River City,Motor Bus,Bio-Diesel,KY,1425558,32003777.099999998,70556167.070202,6247087,22882994
City of Wilsonville,Motor Bus,Electric Battery,OR,204851,31964122.61523528,70468744,185195,1207058
Kitsap County Public Transportation Benefit Area Authority,Ferry Boat,Diesel Fuel,WA,1422008,31924079.599999998,70380464.36775199,2739131,24094434
Luzerne County Transportation Authority,Motor Bus,C Natural Gas,PA,263325,31822826.25,70157239.20727499,864744,4208055
Central Florida Regional Transportation Authority,Motor Bus,Diesel Fuel,FL,1370610,30770194.5,67836586.19859,18418220,111018391
Metropolitan Atlanta Rapid Transit Authority,Motor Bus,Diesel Fuel,GA,1367428,30698758.599999998,67679097.18473199,62093037,352115956
Stark Area Regional Transit Authority,Motor Bus,C Natural Gas,OH,252110,30467493.5,67169245.51997,1387558,10133529
Rogue Valley Transportation District,Motor Bus,C Natural Gas,OR,249852,30194614.2,66567650.35760399,875282,4236166
Cape Fear Public Transportation Authority,Motor Bus,C Natural Gas,NC,249824,30191230.4,66560190.36444799,721308,2152407
Spokane Transit Authority,Motor Bus,Diesel Fuel,WA,1335531,29982670.95,66100396.02978899,9403739,46318134
Metropolitan Atlanta Rapid Transit Authority,Demand Response,Gasoline,GA,1586664,29718216.720000003,65517374.9452464,62093037,352115956
Washington State Ferries,Ferry Boat,Bio-Diesel,WA,1320226,29639073.7,65342894.66049399,18241119,131769108
"Board of County Commissioners, Palm Beach County",Demand Response,Liquified Nat Gas,FL,240948,29118565.799999997,64195372.533995986,8468040,50539296
Massachusetts Bay Transportation Authority,Ferry Boat,Diesel Fuel,MA,1272099,28558622.55,62960910.446181,234975556,1103417623
City of Durham,Motor Bus,Electric Battery,NC,97297,28201133.528680682,62172783,5754102,18948578
Tompkins Consolidated Area Transit,Motor Bus,Electric Battery,NY,118142,27973130.970416673,61670124,2222629,10556141
Cambria County Transit Authority,Inclined Plane,Electric Propulsion,PA,93624,27816004.57221653,61323720,804968,4713352
Metropolitan Atlanta Rapid Transit Authority,Motor Bus,Electric Battery,GA,83498,27761715.851257816,61204034,62093037,352115956
City of Madison,Motor Bus,Electric Battery,WI,53017,27607259.30092261,60863516,9514620,33357045
Central Puget Sound Regional Transit Authority,Commuter Rail,Diesel Fuel,WA,1227003,27546217.349999998,60728941.69415699,37571636,346306031
Clark County Public Transportation Benefit Area Authority,Motor Bus,Electric Battery,WA,202348,26800816.46723699,59085616,4492306,19621461
Springfield Mass Transit District,Motor Bus,C Natural Gas,IL,219210,26491528.5,58403753.56167,1319966,5001748
Connecticut Department of Transportation - CTTRANSIT New Haven Division,Motor Bus,Diesel Fuel,CT,1172593,26324712.849999998,58035988.44336699,7705131,32389851
Susquehanna Regional Transportation Authority,Demand Response,Gasoline,PA,1394897,26126420.810000002,57598829.8461422,3072507,19627362
Susquehanna Regional Transportation Authority,Motor Bus,C Natural Gas,PA,215928,26094898.799999997,57529335.792455986,3072507,19627362
County of Miami-Dade,Motor Bus,Diesel Fuel,FL,1145705,25721077.25,56705201.326895,77961885,414128978
River Valley Transit Authority,Motor Bus,C Natural Gas,PA,212663,25700323.549999997,56659447.30480099,780399,4578701
Suffolk County,Motor Bus,Diesel Fuel,NY,1112119,24967071.55,55042905.280561,3149963,25789843
City of Memphis,Motor Bus,Diesel Fuel,TN,1097255,24633374.75,54307230.641344994,2819588,14475117
MTA New York City Transit,Rapid Bus,Diesel Fuel,NY,1085753,24375154.849999998,53737953.88540699,2632003044,9591253658
City of Madison,Motor Bus,Diesel Fuel,WI,1072778,24083866.099999998,53095772.88138199,9514620,33357045
Regional Transit Service,Motor Bus,Diesel Fuel,NY,1072095,24068532.75,53061968.67130499,9162408,27087937
Mid Mon Valley Transit Authority,Motor Bus,C Natural Gas,PA,193812,23422180.2,51637006.91252399,209190,2319917
New Jersey Transit Corporation,Motor Bus,Electric Battery,NJ,96478,22668579.619163394,49975604,198590133,2314384007
Ulster County,Motor Bus,Electric Battery,NY,95545,22622715.02571872,49874490,430747,3954087
"Board of County Commissioners, Palm Beach County",Demand Response,Gasoline,FL,1206852,22604337.96,49833975.5533752,8468040,50539296
Central Florida Commuter Rail,Commuter Rail,Diesel Fuel,FL,991750,22264787.5,49085395.81824999,1001878,16823179
Suffolk County,Demand Response,Gasoline,NY,1171526,21942681.98,48375275.546747595,3149963,25789843
Alaska Railroad Corporation,Aerial Tramway,Diesel Fuel,AK,973495,21854962.75,48181887.977905,225434,27930710
Pioneer Valley Transit Authority,Motor Bus,Diesel Fuel,MA,972038,21822253.099999998,48109775.62932199,7079756,27546334
"Hudson Transit Lines, Inc.",Commuter Bus,Diesel Fuel,NJ,967558,21721677.099999998,47888043.76820199,1832789,93151932
Niagara Frontier Transportation Authority,Motor Bus,Diesel Fuel,NY,957405,21493742.25,47385534.03919499,14531216,46252415
Greater Attleboro-Taunton Regional Transit Authority,Motor Bus,Electric Battery,MA,50747,21246056.46324537,46839481,707860,3171004
Westmoreland County Transit Authority,Motor Bus,C Natural Gas,PA,175264,21180654.4,46695294.30332799,350383,4294890
The Greater Cleveland Regional Transit Authority,Rapid Bus,C Natural Gas,OH,175149,21166756.65,46664655.04572299,22415370,102838552
Metropolitan Bus Authority,Motor Bus,Diesel Fuel,PR,937995,21057987.75,46424860.95340499,2486681,10234371
Altoona Metro Transit,Motor Bus,C Natural Gas,PA,172917,20897019.45,46069987.01985899,444716,1614732
City of Raleigh,Motor Bus,Electric Battery,NC,71968,20859627.509502772,45987552,5338054,24490026
Cape May Lewes Ferry,Ferry Boat,Diesel Fuel,DE,915117,20544376.65,45292543.65012299,745196,12593812
Greater Dayton Regional Transit Authority,Motor Bus,Diesel Fuel,OH,915070,20543321.5,45290217.445329994,6578178,42234501
Central Florida Regional Transportation Authority,Demand Response,Gasoline,FL,1089215,20400996.95,44976445.895909,18418220,111018391
